anio,mes,temp-max,temp-prom,temp-min,precipitaciones,radiacion
1937,11,8,3.3,-1.4,33.8,0
1937,12,0.1,-4.4,-8.8,7.6,33.8
1938,1,-2.6,-7.2,-11.7,13.5,26.9
1938,2,0.8,-3.7,-8.2,63.2,13.2
1938,3,7.4,1.4,-4.6,35.3,6.4
1938,4,13.6,7.6,1.6,21.8,11.4
1938,5,18.8,12.1,5.4,72.4,0
1938,6,24.8,17.3,9.8,42.2,0
1938,7,28.9,21.8,14.6,63.2,0
1938,8,29.7,22.7,15.6,37.1,0
1938,9,20.1,14.2,8.2,102.1,0
1938,10,16.2,9.9,3.6,7.1,0
1938,11,9,3.2,-2.7,30.5,2.5
1938,12,1.1,-2.5,-6.1,13.7,13.7
1939,1,-1.3,-6.7,-12,2.5,45.7
1939,2,-0.5,-5.8,-11.1,30.2,57.9
1939,3,0.7,-3.6,-7.8,26.2,54.4
1939,4,8.2,4.1,-0.1,57.7,32.5
1939,5,21.1,13.9,6.6,26.4,0
1939,6,24.6,18,11.4,51.8,0
1939,7,28.2,20.9,13.5,39.4,0
1939,8,28.7,21.7,14.7,51.6,0
1940,1,-5.2,-9.4,-13.6,26.7,21.6
1940,2,-2.2,-6.2,-10.1,6.9,27.2
1940,3,-1.3,-5.2,-9.1,13.2,35.1
1940,4,8.8,4.1,-0.6,45.5,5.3
1940,5,16.7,11.7,6.6,123.4,0
1940,6,21.9,16.6,11.2,86.1,0
1940,7,26.6,20.5,14.3,70.9,0
1940,8,25.1,19.4,13.6,84.1,0
1940,9,20.3,15.1,9.8,102.4,0
1940,10,12.8,7.4,1.9,45.5,0
1940,11,5.9,2.2,-1.6,53.3,61
1940,12,0.6,-3.6,-7.7,68.1,14.5
1941,1,-3.1,-6.9,-10.6,21.1,50
1941,2,-2.6,-6.2,-9.8,6.4,24.6
1941,3,0.6,-3.8,-8.1,23.6,13.2
1941,4,15.5,9.2,2.9,45,0
1941,5,20.3,13.9,7.5,53.8,0
1941,6,25.4,19.3,13.2,75.7,0
1941,7,27.7,21.5,15.3,68.1,0
1941,8,25.6,19.5,13.4,39.4,0
1941,9,23.2,16.8,10.4,25.1,0
1941,10,14.7,10,5.2,89.2,0
1941,11,8.5,4.7,0.8,52.6,0
1941,12,1.9,-1.5,-4.8,24.9,16.3
1942,1,-1.4,-5.5,-9.6,21.8,15.2
1942,2,-4.3,-7.7,-11,13,28.2
1942,3,4.3,1.4,-1.5,94,23.1
1942,4,14.7,8.9,3.1,29.7,13.7
1942,5,18.2,12.9,7.6,208.5,0
1942,6,23.4,17.8,12.2,32.8,0
1942,7,26.7,20.2,13.7,110,0
1942,8,25.7,19.7,13.6,28.7,0
1942,9,20.9,15.1,9.3,99.8,0
1942,10,14.6,9.5,4.3,56.4,0
1942,11,7.2,2.8,-1.6,58.4,19.6
1942,12,-1.8,-5.6,-9.4,56.4,53.6
1943,1,-4.9,-9.1,-13.3,2.5,68.3
1943,2,-0.5,-5.2,-9.9,32.3,16.5
1943,3,1.8,-3.1,-8,67.1,18.3
1943,4,7.3,2.8,-1.7,50.8,5.8
1943,5,17.2,12.1,6.9,104.4,0
1943,6,26.4,20.1,13.8,45.2,0
1943,7,27.1,21,14.8,86.6,0
1943,8,25.8,19.9,13.9,49.3,0
1943,9,20.6,14.5,8.4,35.1,0
1943,10,13.6,8.3,2.9,73.4,0
1943,11,5.2,1.9,-1.4,29.2,11.4
1943,12,-0.2,-4.8,-9.3,10.7,4.8
1944,1,1.4,-2.7,-6.8,10.4,9.7
1944,2,-1.4,-6,-10.6,5.8,57.4
1944,3,0.3,-3.6,-7.4,53.3,28.2
1944,4,8.9,4.3,-0.4,71.1,11.7
1944,5,21.1,15.2,9.3,137.9,0
1944,6,24.1,18.6,13.1,102.4,0
1944,7,27.4,21,14.5,90.2,0
1944,8,27.9,21.3,14.7,54.9,0
1944,9,21.2,15.8,10.3,64,0
1944,10,14.9,8.9,2.9,17.5,0
1944,11,6.8,3.3,-0.2,30.5,12.2
1944,12,-1.6,-5.7,-9.7,6.1,64.5
1945,1,-7.2,-11.9,-16.6,0.3,39.9
1945,2,-1.3,-6,-10.7,13.2,34.5
1945,3,10.4,5.1,-0.3,110.7,3.3
1945,4,12.9,7.7,2.4,75.7,7.4
1945,5,14.3,9.4,4.5,145,0
1945,6,22.2,16.7,11.1,81.3,0
1945,7,25.6,19.7,13.7,118.1,0
1945,8,25.6,19.9,14.2,49,0
1945,9,21.2,15.9,10.6,128.8,0
1945,10,13.9,8.4,2.8,56.4,0.8
1945,11,7.2,3.3,-0.6,42.2,12.4
1945,12,-2,-6.1,-10.2,28.7,13
1946,1,-0.9,-5.3,-9.7,61.5,36.1
1946,2,-2.3,-6.9,-11.4,33.5,24.4
1946,3,10.8,5.2,-0.5,28.4,0
1946,4,12.2,6,-0.2,14.5,2.5
1946,5,17.8,11.6,5.3,95.5,0
1946,6,23.4,17.1,10.8,43.7,0
1946,7,27.6,20.4,13.2,79.2,0
1946,8,24.1,18.2,12.3,37.8,0
